scenario_id,target_population,sampling_frame,sampling_method,weighting_needed_flag,bias_risk,recommended_summary,study_type_hint,best_chart,likely_unit_of_analysis,key_missing_information,teaching_focus,difficulty_level
SCN001,Adults with at least one primary care visit in the last year,EHR registry roster,Simple random,0,Nonresponse bias,Describe the likely target population and who may be missing.,observational,stacked bar chart,household,measurement timing,unit of analysis,introductory
SCN002,Emergency department visits in winter months,Hospital discharge list,Stratified,1,Selection bias from convenience sampling,State whether weighted and unweighted results may differ.,administrative data review,bar chart,patient,sampling frame coverage,unit of analysis,introductory
SCN003,Women aged 40 to 74 eligible for mammography screening,County voter-style address list,Cluster,1,Nonresponse bias,Identify the main risk to external validity.,observational,bar chart,patient,eligibility criteria,unit of analysis,introductory
SCN004,Emergency department visits in winter months,Clinic appointment schedule,Convenience,0,Nonresponse bias,Describe the likely target population and who may be missing.,quality improvement,bar chart,county,sampling frame coverage,unit of analysis,intermediate
SCN005,Adults with at least one primary care visit in the last year,Clinic appointment schedule,Purposive,0,Selection bias from convenience sampling,State whether weighted and unweighted results may differ.,survey,histogram,patient,response rate,generalizability,introductory
SCN006,County residents aged 45 years and older,Hospital discharge list,Quota,1,Limited generalizability to one health system,State whether weighted and unweighted results may differ.,administrative data review,bar chart,household,measurement timing,bias,intermediate
SCN007,Emergency department visits in winter months,Hospital discharge list,Snowball,0,Limited generalizability to one health system,Identify the main risk to external validity.,administrative data review,bar chart,county,response rate,bias,intermediate
SCN008,Emergency department visits in winter months,Claims eligibility file,Systematic,0,Limited generalizability to one health system,Identify the main risk to external validity.,quality improvement,bar chart,claim,measurement timing,generalizability,introductory
SCN009,Emergency department visits in winter months,Telephone survey frame,Simple random,0,Nonresponse bias,Describe the likely target population and who may be missing.,survey,histogram,household,eligibility criteria,generalizability,introductory
SCN010,Emergency department visits in winter months,EHR registry roster,Stratified,1,Limited generalizability to one health system,Explain whether the design supports causal claims.,observational,box plot,county,eligibility criteria,bias,introductory
SCN011,Patients discharged after heart failure hospitalization,EHR registry roster,Cluster,1,Nonresponse bias,Describe the likely target population and who may be missing.,survey,box plot,household,measurement timing,bias,intermediate
SCN012,Adults with diabetes in county clinics,Telephone survey frame,Convenience,0,Limited generalizability to one health system,Describe the likely target population and who may be missing.,observational,box plot,claim,measurement timing,bias,introductory
