study_id,topic,study_design,population,setting,data_source_type,sample_n,exposure_or_intervention,comparator,outcome,effect_measure,main_result,ci_or_p_value,key_limitation,evidence_strength_tier,source_type
ST001,Primary care no-shows,cohort,Ambulatory adults with primary care appointments,multiclinic health system,EHR,1600,SMS reminder program,No reminder,No-show rate,RR,0.82 (95% CI 0.76-0.89),Not reported,Residual confounding due to clinic workflow differences,Moderate,Journal
ST002,ED throughput dashboard,QI,ED encounters in one community hospital,community hospital ED,EHR,1600,New triage protocol,Prior triage process,Door-to-provider minutes,difference,-11.4 minutes,95% CI reported,Single-site pre/post design,Low,Report
ST003,Diabetes outreach calls,trial,Adults with uncontrolled diabetes,primary care network,experiment,480,Nurse outreach calls,Usual care,A1c change,difference,-0.6 A1c points (p=0.02),Adjusted model only,Short follow-up period,Moderate,Journal
ST004,Colorectal screening gaps,cross-sectional,Adults aged 45-75 in county clinics,FQHC network,registry,950,Insurance and language status,Reference groups,Up-to-date screening,OR,OR 0.71 for uninsured vs insured,95% CI reported,Cross-sectional design limits causal interpretation,Low,Journal
ST005,Heart failure readmissions,cohort,Medicare patients discharged with heart failure,regional hospital system,claims,1600,Post-discharge follow-up within 7 days,No follow-up within 7 days,30-day readmission,OR,OR 0.78 (95% CI 0.69-0.88),p < 0.05,Claims capture limited clinical severity,Moderate,Journal
ST006,Patient portal use,cross-sectional,Adult ambulatory patients,multiclinic system,EHR,3200,Portal activation,No portal activation,No-show rate,difference,-3.1 percentage points,95% CI reported,Self-selection into portal use,Low,Journal
ST007,Influenza vaccination campaign,trial,Adults 65 years and older,primary care network,experiment,950,Mailed reminder plus standing order,Usual outreach,Influenza vaccine uptake,RR,RR 1.14,Adjusted model only,Participation bias among practices,Moderate,Journal
ST008,Behavioral health access,review,Studies of integrated behavioral health models,mixed outpatient settings,review,8,Integrated care model,Usual referral model,Wait time to treatment,difference,Most studies reported shorter wait times,95% CI reported,Heterogeneous interventions,Moderate,Systematic review
ST009,Primary care no-shows scenario 2,trial,Ambulatory adults with primary care appointments,multiclinic health system,EHR,3200,SMS reminder program,No reminder,No-show rate,RR,0.82 (95% CI 0.76-0.89),Adjusted model only,Residual confounding due to clinic workflow differences,Low,Journal
ST010,ED throughput dashboard scenario 3,review,ED encounters in one community hospital,community hospital ED,EHR,950,New triage protocol,Prior triage process,Door-to-provider minutes,difference,-11.4 minutes,p < 0.05,Single-site pre/post design,Low,Report
ST011,Diabetes outreach calls scenario 4,QI,Adults with uncontrolled diabetes,primary care network,experiment,3200,Nurse outreach calls,Usual care,A1c change,difference,-0.6 A1c points (p=0.02),p < 0.05,Short follow-up period,Low,Journal
ST012,Colorectal screening gaps scenario 5,public health report,Adults aged 45-75 in county clinics,FQHC network,registry,480,Insurance and language status,Reference groups,Up-to-date screening,OR,OR 0.71 for uninsured vs insured,p < 0.05,Cross-sectional design limits causal interpretation,Low,Journal
ST013,Heart failure readmissions scenario 6,cross-sectional,Medicare patients discharged with heart failure,regional hospital system,claims,480,Post-discharge follow-up within 7 days,No follow-up within 7 days,30-day readmission,OR,OR 0.78 (95% CI 0.69-0.88),95% CI crosses null,Claims capture limited clinical severity,Low,Journal
ST014,Patient portal use scenario 7,cohort,Adult ambulatory patients,multiclinic system,EHR,3200,Portal activation,No portal activation,No-show rate,difference,-3.1 percentage points,95% CI reported,Self-selection into portal use,Moderate,Journal
ST015,Influenza vaccination campaign scenario 8,trial,Adults 65 years and older,primary care network,experiment,480,Mailed reminder plus standing order,Usual outreach,Influenza vaccine uptake,RR,RR 1.14,95% CI crosses null,Participation bias among practices,Low,Journal
ST016,Behavioral health access scenario 9,review,Studies of integrated behavioral health models,mixed outpatient settings,review,14,Integrated care model,Usual referral model,Wait time to treatment,difference,Most studies reported shorter wait times,95% CI reported,Heterogeneous interventions,Low,Systematic review
ST017,Primary care no-shows scenario 10,QI,Ambulatory adults with primary care appointments,multiclinic health system,EHR,480,SMS reminder program,No reminder,No-show rate,RR,0.82 (95% CI 0.76-0.89),p < 0.05,Residual confounding due to clinic workflow differences,Moderate,Journal
ST018,ED throughput dashboard scenario 11,public health report,ED encounters in one community hospital,community hospital ED,EHR,12000,New triage protocol,Prior triage process,Door-to-provider minutes,difference,-11.4 minutes,95% CI reported,Single-site pre/post design,Low,Report
ST019,Diabetes outreach calls scenario 12,cross-sectional,Adults with uncontrolled diabetes,primary care network,experiment,1600,Nurse outreach calls,Usual care,A1c change,difference,-0.6 A1c points (p=0.02),Not reported,Short follow-up period,Moderate,Journal
